TARGET_FID_12,GEOID_D,FIPS,POC Population (Prop),Median Household Income,Ttl_Und,Unemployed Population (Prop),Stop Frequency (SEP 20),FreqAug19,FreqPandemic
78,14000US08005081300,8005081300,0.391373295,54375,612,0.255106294,1073,2338,2239
79,14000US08005084000,8005084000,0.225037821,98672,594,0.278873239,684,1856,1612
80,14000US08001009608,8001009608,0.204502814,75556,736,0.259337562,996,2220,2432
81,14000US08001009607,8001009607,0.196782421,46082,1181,0.280922931,196,607,518
82,14000US08014030500,8014030500,0.171672355,137603,1002,0.226850804,0,126,63
83,14000US08014031000,8014031000,0.230560732,109291,1065,0.244042163,0,0,0
84,14000US08005081200,8005081200,0.553467001,48262,1005,0.276174773,1330,3374,3017
85,14000US08005007500,8005007500,0.432343234,59063,381,0.209455745,893,1956,1819
86,14000US08005005551,8005005551,0.292558614,48528,441,0.188703466,1186,2680,2526
87,14000US08005005630,8005005630,0.09785322,94229,1389,0.288234073,185,530,445
88,14000US08005005552,8005005552,0.11630396,32008,471,0.20794702,819,1776,1728
89,14000US08005005553,8005005553,0.114934114,56474,745,0.23223192,1138,2572,2436
90,14000US08005005611,8005005611,0.083470923,81930,1150,0.26006332,1042,3248,2485
91,14000US08005005612,8005005612,0.032552083,83617,783,0.261087029,613,1864,1378
92,14000US08005005614,8005005614,0.119749216,92125,517,0.200543057,328,896,774
93,14000US08005005619,8005005619,0.069935858,84211,745,0.187941473,992,2634,2200
94,14000US08005005620,8005005620,0.089675711,55429,558,0.20613225,396,920,856
95,14000US08001009553,8001009553,0.188572961,56094,733,0.244251916,1760,5010,4617
96,14000US08005005621,8005005621,0.050929112,121250,717,0.296403473,80,246,203
97,14000US08005005622,8005005622,0.057931571,113125,376,0.181030332,401,1098,950
98,14000US08005005624,8005005624,0.15085592,112218,609,0.271148709,555,1868,1489
99,14000US08005005625,8005005625,0.097066167,89907,511,0.194889397,790,2340,1965
100,14000US08005005626,8005005626,0.061608961,70197,909,0.286750789,856,3432,2587
101,14000US08005005629,8005005629,0.045311269,151667,539,0.262926829,0,0,0
102,14000US08005084700,8005084700,0.235500468,79884,860,0.250655785,1245,2714,2602
103,14000US08005083400,8005083400,0.329857686,78550,1269,0.243570058,1641,3630,3456
104,14000US08005005631,8005005631,0.077989601,114119,731,0.259680284,200,776,583
105,14000US08005007703,8005007703,0.34625323,52981,1111,0.302642332,1640,3600,3297
106,14000US08013013202,8013013202,0.035932203,118839,384,0.301176471,0,64,32
107,14000US08013012401,8013012401,0.091424866,22578,4140,0.692423482,1860,4756,4126
108,14000US08013012510,8013012510,0.063839386,120441,1174,0.317812669,1122,2646,2478
109,14000US08031004107,8031004107,0.1944007,118692,1658,0.20291274,7206,16813,15268
110,14000US08031004106,8031004106,0.183347481,148795,1857,0.205125373,2758,6507,5793
111,14000US08031015500,8031015500,0.215581098,52057,1016,0.30014771,1075,2308,2205
112,14000US08005005635,8005005635,0.095585257,92604,972,0.233710026,318,780,720
113,14000US08005006713,8005006713,0.38305709,72340,247,0.174188999,53,195,120
114,14000US08005084600,8005084600,0.294226158,69310,882,0.205930423,1285,3292,2929
115,14000US08005005636,8005005636,0.056603774,202188,453,0.296272073,0,318,0
116,14000US08031001701,8031001701,0.113444734,93654,1429,0.22758401,20280,52750,46378
117,14000US08031001702,8031001702,0.177521749,65408,1411,0.334995252,26400,73741,63458
118,14000US08031001800,8031001800,0.307781313,47725,881,0.288474132,1031,2682,2374
119,14000US08005086200,8005086200,0.236795252,108720,1062,0.20992291,672,1788,1566
120,14000US08005085400,8005085400,0.234627126,132083,983,0.282227964,378,952,854
121,14000US08031002000,8031002000,0.196185286,100947,344,0.158525346,2097,5344,4852
122,14000US08031002402,8031002402,0.288700846,73125,417,0.246745562,526,1850,1327
123,14000US08005005633,8005005633,0.062214984,104756,619,0.243222004,111,658,440
124,14000US08005005634,8005005634,0.077844311,68586,491,0.170901497,464,1902,1415
125,14000US08005005700,8005005700,0.119084362,48465,1045,0.304575925,4782,10592,9853
126,14000US08005005800,8005005800,0.085662432,81708,606,0.259751393,614,1188,1142
127,14000US08005005951,8005005951,0.128593041,36640,740,0.184171229,2557,5164,4602
128,14000US08005005952,8005005952,0.109994417,58869,753,0.254822335,157,562,434
129,14000US08005006000,8005006000,0.10955799,51201,570,0.247288503,1573,3562,3396
130,14000US08005084900,8005084900,0.196519652,145938,633,0.235578712,532,1210,1136
131,14000US08014030900,8014030900,0.137889482,108385,1044,0.225097025,36,236,102
132,14000US08123002009,8123002009,0.026086957,97188,306,0.211034483,0,0,0
133,14000US08005006712,8005006712,0.102158273,182031,252,0.218560278,2070,6186,5106
134,14000US08005006858,8005006858,0.245716589,74571,842,0.200810875,1054,1307,1718
135,14000US08031005104,8031005104,0.340076545,44926,763,0.247727273,808,1752,1671
136,14000US08031003500,8031003500,0.264865681,54602,1179,0.236651947,6493,13098,12381
137,14000US08031002701,8031002701,0.158085106,41957,1166,0.251564186,3244,7689,7001
138,14000US08031005200,8031005200,0.164500968,107875,638,0.208224543,1022,2385,2223
139,14000US08031006814,8031006814,0.405788656,55284,1036,0.273784355,1016,2728,2312
140,14000US08031001500,8031001500,0.188571429,50185,1021,0.28591431,2268,6983,6717
141,14000US08031002100,8031002100,0.169817027,72064,1199,0.209432314,9294,21844,20174
142,14000US08031002403,8031002403,0.337680816,46758,958,0.256561328,4699,10156,9645
143,14000US08031002601,8031002601,0.151506538,50858,774,0.222286043,3731,10209,8388
144,14000US08031002602,8031002602,0.120689655,80286,496,0.177523264,598,2108,1324
145,14000US08031002702,8031002702,0.123903684,61611,1505,0.247981546,1366,3134,2860
146,14000US08005006100,8005006100,0.15138191,50802,733,0.263195691,416,1024,928
147,14000US08031002801,8031002801,0.095133553,66096,522,0.207307387,602,1072,1149
148,14000US08031002802,8031002802,0.099272471,56576,949,0.246301583,1210,3930,3175
149,14000US08031002803,8031002803,0.12179623,60560,1174,0.261353517,442,1239,1075
150,14000US08005005623,8005005623,0.035262206,110417,894,0.257859821,640,2286,1783
151,14000US08005087200,8005087200,0.374205695,53495,913,0.263949118,1394,3378,2986
