TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
43,14000US08013012701,8013012701,0.051215977,150117,0.294527363,6209,0.456434208,0.543565792,0.255522388,0.15478701,2.59,14,17,15,-6.67,13.33
44,14000US08013012705,8013012705,0.130265568,65963,0.30806909,4368,0.504807692,0.495192308,0.146429492,0.559508125,1.92,15,18,15,0,20
45,14000US08013012708,8013012708,0.011111111,106186,0.305497564,5040,0.522222222,0.477777778,0.283228949,0.201255043,2.26,7,6,6,16.67,0
46,14000US08013012709,8013012709,0.058367769,111042,0.336102236,1936,0.478305785,0.521694215,0.285623003,0.033381713,2.81,9,8,8,12.5,0
47,14000US08013012903,8013012903,0.115876289,133750,0.315871369,2425,0.496082474,0.503917526,0.272302905,0.107411386,2.6,8,9,7,14.29,28.57
48,14000US08013012904,8013012904,0.057122067,90982,0.285090592,5497,0.480989631,0.519010369,0.317179655,0.218048359,2.34,8,9,7,14.29,28.57
49,14000US08013012905,8013012905,0.130188679,54290,0.31843318,2650,0.468301887,0.531698113,0.317511521,0.41906327,2.17,7,8,6,16.67,33.33
50,14000US08013060900,8013060900,0.098829649,74286,0.29799733,4614,0.470307759,0.529692241,0.224566088,0.295263158,2.43,6,9,7,-14.29,28.57
51,14000US08013012907,8013012907,0.146507666,81250,0.245207957,3522,0.506246451,0.493753549,0.270886076,0.266030014,2.4,7,9,7,0,28.57
52,14000US08013013003,8013013003,0.070402703,103701,0.299438005,7102,0.514080541,0.485919459,0.22567615,0.234585918,2.59,19,23,18,5.56,27.78
53,14000US08031004404,8031004404,0.566511179,37976,0.296768707,6217,0.50120637,0.49879363,0.247236395,0.708773355,2.53,14,19,16,-12.5,18.75
54,14000US08031004403,8031004403,0.33020595,59229,0.28943299,4370,0.526086957,0.473913043,0.190463918,0.581845997,2.23,17,21,19,-10.53,10.53
