TARGET_FID_12,GEOID_D,FIPS,POC_Population__Prop_,Median_Household_Income,Ttl_Und,Unemployed_Population__Prop_,GEOID_D_1,Ar_SqKm,TotalPp,TtlMale,TtlFeml,PropMal,PropFml,Ag17ndr,Ag18_54,Ag55_64,Age65Up,PrpA17U,PrpA65U,TtlPOC,PropPOC,TtlHH,TtlHHNC,PrpHHNC,Md_HHnc,Ttl_Und_1,Ttl_DNW,Prp_UnE,Prp_DNW,Ttl_OcU,Ttl_RnU,Prp_Rnt,Avg_HH_,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
636,14000US08031000600,8031000600,0.115007899,62664,786,0.273106324,14000US08031000600,1.277692318,3165,1537,1628,0.485624013,0.514375987,315,2583,156,111,0.099526066,0.03507109,364,0.115007899,1859,243,0.130715438,62664,786,285,0.273106324,0.099027102,1859,1448,0.778913394,1.7,7,8,7,0.00,14.29
637,14000US08031000904,8031000904,0.268953753,26511,856,0.225619399,14000US08031000904,1.241441488,5276,2765,2511,0.524071266,0.475928734,1614,2677,566,419,0.305913571,0.079416224,1419,0.268953753,1889,414,0.219163579,26511,856,1424,0.225619399,0.375329468,1889,1256,0.664902065,2.79,6,8,6,0.00,33.33
638,14000US08031003601,8031003601,0.403611836,52188,895,0.248128639,14000US08031003601,1.325279832,4596,2406,2190,0.523498695,0.476501305,1123,2830,347,296,0.244342907,0.064403829,1855,0.403611836,1744,385,0.220756881,52188,895,856,0.248128639,0.237316329,1744,835,0.478784404,2.63,20,22,19,5.26,15.79
639,14000US08031006812,8031006812,0.155752212,66462,814,0.225172891,14000US08031006812,1.986757278,3955,1986,1969,0.502149178,0.497850822,364,2152,498,941,0.092035398,0.237926675,616,0.155752212,2124,119,0.056026365,66462,814,1125,0.225172891,0.31120332,2124,668,0.314500942,1.86,14,13,13,7.69,0.00
640,14000US08031001600,8031001600,0.236715819,83503,2177,0.206526895,14000US08031001600,3.19650507,11461,6487,4974,0.566006457,0.433993543,954,9465,753,289,0.08323881,0.02521595,2713,0.236715819,5578,307,0.055037648,83503,2177,1529,0.206526895,0.145052652,5578,4546,0.814987451,1.9,50,55,49,2.04,12.24
641,14000US08031000701,8031000701,0.266695766,37008,896,0.231824062,14000US08031000701,1.197485924,4582,2230,2352,0.486687036,0.513312964,725,2515,433,909,0.158227848,0.198384985,1222,0.266695766,2142,508,0.237161531,37008,896,1246,0.231824062,0.322380336,2142,1632,0.761904762,2.11,25,29,26,-3.85,11.54
642,14000US08031002300,8031002300,0.429272568,84200,1120,0.243637155,14000US08031002300,1.457321763,5705,2401,3304,0.420858896,0.579141104,1169,3653,431,452,0.204907975,0.079228747,2449,0.429272568,2292,332,0.144851658,84200,1120,879,0.243637155,0.19121166,2292,1015,0.442844677,2.47,13,18,14,-7.14,28.57
643,14000US08031005102,8031005102,0.107091997,76105,780,0.268502582,14000US08031005102,1.623612165,3511,1730,1781,0.492737112,0.507262888,646,1983,433,449,0.183993164,0.127883794,376,0.107091997,1524,46,0.030183727,76105,780,583,0.268502582,0.200688468,1524,462,0.303149606,2.3,3,3,3,0.00,0.00
644,14000US08031001301,8031001301,0.143515107,53180,567,0.139586411,14000US08031001301,1.886412382,5428,2724,2704,0.501842299,0.498157701,1435,2990,373,630,0.264369934,0.116064849,779,0.143515107,1727,196,0.113491604,53180,567,1515,0.139586411,0.372968981,1727,815,0.471916618,3.13,18,22,19,-5.26,15.79
645,14000US08031001302,8031001302,0.230372915,42474,659,0.214239272,14000US08031001302,2.113565922,4076,2042,2034,0.500981354,0.499018646,1079,2051,518,428,0.264720314,0.105004907,939,0.230372915,1446,59,0.040802213,42474,659,1086,0.214239272,0.353055917,1446,568,0.392807746,2.82,15,16,15,0.00,6.67
