TARGET_FID_12,GEOID_D,FIPS,POC_Population__Prop_,Median_Household_Income,Ttl_Und,Unemployed_Population__Prop_,GEOID_D_1,Ar_SqKm,TotalPp,TtlMale,TtlFeml,PropMal,PropFml,Ag17ndr,Ag18_54,Ag55_64,Age65Up,PrpA17U,PrpA65U,TtlPOC,PropPOC,TtlHH,TtlHHNC,PrpHHNC,Md_HHnc,Ttl_Und_1,Ttl_DNW,Prp_UnE,Prp_DNW,Ttl_OcU,Ttl_RnU,Prp_Rnt,Avg_HH_,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
50,14000US08013060900,8013060900,0.098829649,74286,1116,0.29799733,14000US08013060900,7.760190487,4614,2170,2444,0.470307759,0.529692241,953,2266,863,532,0.206545297,0.115301257,456,0.098829649,1900,82,0.043157895,74286,1116,841,0.29799733,0.224566088,1900,561,0.295263158,2.43,6,9,7,-14.29,28.57
51,14000US08013012907,8013012907,0.146507666,81250,678,0.245207957,14000US08013012907,6.531241417,3522,1783,1739,0.506246451,0.493753549,862,1574,591,495,0.244747303,0.140545145,516,0.146507666,1466,89,0.060709413,81250,678,749,0.245207957,0.270886076,1466,390,0.266030014,2.4,7,9,7,0.00,28.57
52,14000US08013013003,8013013003,0.070402703,103701,1705,0.299438005,14000US08013013003,12.32234669,7102,3651,3451,0.514080541,0.485919459,1694,3290,1095,1023,0.238524359,0.144043931,500,0.070402703,2741,84,0.03064575,103701,1705,1285,0.299438005,0.22567615,2741,643,0.234585918,2.59,19,23,18,5.56,27.78
53,14000US08031004404,8031004404,0.566511179,37976,1396,0.296768707,14000US08031004404,1.303168774,6217,3116,3101,0.50120637,0.49879363,1570,4051,322,274,0.252533376,0.044072704,3522,0.566511179,2462,365,0.148253452,37976,1396,1163,0.296768707,0.247236395,2462,1745,0.708773355,2.53,14,19,16,-12.50,18.75
54,14000US08031004403,8031004403,0.33020595,59229,1123,0.28943299,14000US08031004403,1.464214683,4370,2299,2071,0.526086957,0.473913043,620,3062,350,338,0.14187643,0.077345538,1443,0.33020595,1961,149,0.075981642,59229,1123,739,0.28943299,0.190463918,1961,1141,0.581845997,2.23,17,21,19,-10.53,10.53
55,14000US08013013004,8013013004,0.097657353,131406,866,0.338810642,14000US08013013004,2.095612526,3543,1721,1822,0.485746542,0.514253458,1070,1509,645,319,0.302003951,0.090036692,346,0.097657353,1227,0,0,131406,866,493,0.338810642,0.192879499,1227,124,0.101059495,2.89,9,11,9,0.00,22.22
56,14000US08013013005,8013013005,0.095517774,86058,755,0.299009901,14000US08013013005,1.939828396,3235,1609,1626,0.497372488,0.502627512,799,1549,508,379,0.24698609,0.117156105,309,0.095517774,1295,96,0.074131274,86058,755,638,0.299009901,0.252673267,1295,408,0.315057915,2.49,14,18,15,-6.67,20.00
57,14000US08013013006,8013013006,0.094620641,98611,1531,0.341207934,14000US08013013006,3.229614258,5707,2699,3008,0.472927983,0.527072017,1458,2871,837,541,0.255475732,0.094795865,540,0.094620641,2182,0,0,98611,1531,821,0.341207934,0.182973033,2182,634,0.29055912,2.6,7,8,7,0.00,14.29
58,14000US08013013205,8013013205,0.03765308,110417,1316,0.29592984,14000US08013013205,22.82263374,5471,2771,2700,0.506488759,0.493511241,1239,2347,1129,756,0.226466825,0.138183148,206,0.03765308,2081,0,0,110417,1316,1521,0.29592984,0.342028334,2081,321,0.154252763,2.63,5,6,5,0.00,20.00
59,14000US08013013207,8013013207,0.063989409,86635,1266,0.335898116,14000US08013013207,6.514773369,4532,2245,2287,0.495366284,0.504633716,889,2214,710,719,0.196160635,0.158649603,290,0.063989409,1831,47,0.025669033,86635,1266,952,0.335898116,0.252586893,1831,639,0.348989623,2.47,1,1,1,0.00,0.00
60,14000US08031003701,8031003701,0.156002265,67946,851,0.27015873,14000US08031003701,1.99205029,3532,1606,1926,0.454699887,0.545300113,382,2339,248,563,0.10815402,0.159399773,551,0.156002265,1890,209,0.110582011,67946,851,583,0.27015873,0.185079365,1890,1190,0.62962963,1.8,29,35,29,0.00,20.69
61,14000US08031003702,8031003702,0.130857143,53354,1479,0.300609756,14000US08031003702,0.705633521,5250,2862,2388,0.545142857,0.454857143,457,3929,520,344,0.087047619,0.06552381,687,0.130857143,2754,461,0.167392883,53354,1479,695,0.300609756,0.141260163,2754,1877,0.681554103,1.86,15,18,15,0.00,20.00
62,14000US08031003703,8031003703,0.151754663,62680,727,0.260480115,14000US08031003703,0.680956721,3163,1528,1635,0.483085678,0.516914322,425,2337,232,169,0.134366108,0.053430288,480,0.151754663,1656,170,0.102657005,62680,727,399,0.260480115,0.142959513,1656,961,0.58031401,1.91,22,22,19,15.79,15.79
63,14000US08031003800,8031003800,0.117327229,107574,1474,0.228598015,14000US08031003800,2.187090635,6989,3313,3676,0.47403062,0.52596938,585,3222,1265,1917,0.083702962,0.274288167,820,0.117327229,4190,433,0.103341289,107574,1474,2192,0.228598015,0.339950372,4190,2024,0.483054893,1.67,26,37,30,-13.33,23.33
64,14000US08031003901,8031003901,0.064941176,126964,732,0.197730956,14000US08031003901,3.004756451,4250,2169,2081,0.510352941,0.489647059,591,1842,569,1248,0.139058824,0.293647059,276,0.064941176,2165,65,0.030023095,126964,732,1279,0.197730956,0.345488925,2165,443,0.204618938,1.96,16,19,15,6.67,26.67
65,14000US08031004102,8031004102,0.585741811,51958,1024,0.254346746,14000US08031004102,3.98102212,5190,2637,2553,0.508092486,0.491907514,1333,2797,502,558,0.256840077,0.107514451,3040,0.585741811,1527,173,0.113294041,51958,1024,1587,0.254346746,0.394187779,1527,681,0.445972495,3.13,24,28,24,0.00,16.67
66,14000US08031004103,8031004103,0.323184153,115977,1130,0.265882353,14000US08031004103,1.898049355,5452,2495,2957,0.457630227,0.542369773,1293,2737,601,821,0.237160675,0.150586941,1762,0.323184153,2193,23,0.010487916,115977,1130,994,0.265882353,0.233882353,2193,164,0.074783402,2.49,14,20,16,-12.50,25.00
67,14000US08031004104,8031004104,0.438185654,91337,956,0.24805397,14000US08031004104,1.961844802,4740,2316,2424,0.488607595,0.511392405,955,2773,438,574,0.201476793,0.121097046,2077,0.438185654,1902,74,0.038906414,91337,956,901,0.24805397,0.233783083,1902,270,0.141955836,2.49,21,30,24,-12.50,25.00
68,14000US08005082300,8005082300,0.261263467,61078,701,0.22804164,14000US08005082300,1.237524629,4084,1997,2087,0.488981391,0.511018609,1149,2274,261,400,0.281341822,0.097943193,1067,0.261263467,1377,35,0.025417574,61078,701,777,0.22804164,0.252765127,1377,555,0.403050109,2.97,4,5,4,0.00,25.00
69,14000US08005080800,8005080800,0.532646979,55219,577,0.236572366,14000US08005080800,0.913775563,3691,1944,1747,0.526686535,0.473313465,1308,1809,323,251,0.354375508,0.068003251,1966,0.532646979,1123,76,0.067675868,55219,577,618,0.236572366,0.253382534,1123,635,0.565449688,3.28,5,5,5,0.00,0.00
70,14000US08005006502,8005006502,0.060022334,65816,937,0.313273153,14000US08005006502,1.941754699,3582,1635,1947,0.456448911,0.543551089,641,1911,638,392,0.178950307,0.109436069,215,0.060022334,1459,47,0.032213845,65816,937,686,0.313273153,0.229354731,1459,624,0.427690199,2.46,1,5,3,-66.67,66.67
71,14000US08005082600,8005082600,0.680312616,58545,777,0.186063218,14000US08005082600,2.428873777,5374,2750,2624,0.511723111,0.488276889,1308,3054,667,345,0.24339412,0.06419799,3656,0.680312616,2256,238,0.105496454,58545,777,979,0.186063218,0.234434866,2256,1424,0.631205674,2.38,14,17,15,-6.67,13.33
72,14000US08005005628,8005005628,0.038831615,86856,1165,0.248984826,14000US08005005628,2.566202641,5820,2930,2890,0.503436426,0.496563574,1234,2705,756,1125,0.212027491,0.193298969,226,0.038831615,2273,157,0.069071711,86856,1165,1321,0.248984826,0.282325283,2273,421,0.185217774,2.51,2,3,2,0.00,50.00
73,14000US08005006711,8005006711,0.121856867,123162,961,0.295783318,14000US08005006711,2.590960026,4136,2076,2060,0.501934236,0.498065764,975,1708,753,700,0.23573501,0.169245648,504,0.121856867,1428,8,0.005602241,123162,961,854,0.295783318,0.262850108,1428,93,0.06512605,2.89,2,2,2,0.00,0.00
74,14000US08001009603,8001009603,0.18510158,46451,1115,0.231712386,14000US08001009603,2.171247244,6645,3628,3017,0.545974417,0.454025583,1861,3623,615,546,0.280060196,0.082167043,1230,0.18510158,2283,191,0.083661848,46451,1115,1267,0.231712386,0.263300083,2283,1215,0.532194481,2.86,4,9,4,0.00,125.00
75,14000US08001009604,8001009604,0.219451932,51555,698,0.1854903,14000US08001009604,2.229703665,4452,2126,2326,0.477538185,0.522461815,812,2171,544,925,0.182389937,0.207771788,977,0.219451932,1891,192,0.10153358,51555,698,1438,0.1854903,0.382141908,1891,1019,0.538868324,2.3,3,8,4,-25.00,100.00
76,14000US08031004304,8031004304,0.156324582,100043,1252,0.248956055,14000US08031004304,2.620172977,5866,2705,3161,0.461131947,0.538868053,943,3390,765,768,0.160756904,0.130923969,917,0.156324582,2782,24,0.008626887,100043,1252,1012,0.248956055,0.201232849,2782,756,0.271746945,2.09,25,32,27,-7.41,18.52
77,14000US08005005627,8005005627,0.058947813,104911,1076,0.293828509,14000US08005005627,2.597167253,4733,2154,2579,0.455102472,0.544897528,1156,1909,697,971,0.244242552,0.205155293,279,0.058947813,1828,13,0.007111597,104911,1076,1037,0.293828509,0.283178591,1828,167,0.091356674,2.58,3,4,3,0.00,33.33
78,14000US08005081300,8005081300,0.391373295,54375,612,0.255106294,14000US08005081300,1.174039602,3153,1404,1749,0.4452902,0.5547098,794,1693,403,263,0.25182366,0.083412623,1234,0.391373295,1063,60,0.056444026,54375,612,544,0.255106294,0.22676115,1063,482,0.453433678,2.97,9,10,9,0.00,11.11
79,14000US08005084000,8005084000,0.225037821,98672,594,0.278873239,14000US08005084000,0.883075237,2644,1377,1267,0.520801815,0.479198185,630,1335,327,352,0.23827534,0.133131619,595,0.225037821,757,13,0.017173052,98672,594,542,0.278873239,0.254460094,757,148,0.195508587,3.49,6,8,6,0.00,33.33
80,14000US08001009608,8001009608,0.204502814,75556,736,0.259337562,14000US08001009608,1.470902324,3198,1620,1578,0.506566604,0.493433396,432,1861,403,502,0.135084428,0.156973108,654,0.204502814,1340,32,0.023880597,75556,736,703,0.259337562,0.247709655,1340,159,0.118656716,2.38,8,9,10,-20.00,-10.00
81,14000US08001009607,8001009607,0.196782421,46082,1181,0.280922931,14000US08001009607,2.662993431,5097,2502,2595,0.490876986,0.509123014,1096,2866,602,533,0.215028448,0.104571316,1003,0.196782421,1831,150,0.081922447,46082,1181,1245,0.280922931,0.296146527,1831,983,0.536865101,2.74,2,3,2,0.00,50.00
82,14000US08014030500,8014030500,0.171672355,137603,1002,0.226850804,14000US08014030500,5.105895519,5860,2930,2930,0.5,0.5,1712,2676,728,744,0.292150171,0.126962457,1006,0.171672355,2134,184,0.086223055,137603,1002,1094,0.226850804,0.24767942,2134,200,0.093720712,2.75,0,1,0,0.00,0.00
83,14000US08014031000,8014031000,0.230560732,109291,1065,0.244042163,14000US08014031000,3.550696373,5903,2892,3011,0.489920379,0.510079621,1719,2723,620,841,0.29120786,0.142469931,1361,0.230560732,2256,14,0.006205674,109291,1065,952,0.244042163,0.218148488,2256,256,0.113475177,2.62,0,0,0,0.00,0.00
84,14000US08005081200,8005081200,0.553467001,48262,1005,0.276174773,14000US08005081200,1.33595562,4788,2432,2356,0.507936508,0.492063492,1246,2582,457,503,0.260233918,0.105054302,2650,0.553467001,1865,147,0.078820375,48262,1005,1002,0.276174773,0.275350371,1865,852,0.456836461,2.57,11,14,12,-8.33,16.67
85,14000US08005007500,8005007500,0.432343234,59063,381,0.209455745,14000US08005007500,0.85595721,2424,1214,1210,0.500825083,0.499174917,669,1127,290,338,0.275990099,0.139438944,1048,0.432343234,787,27,0.034307497,59063,381,630,0.209455745,0.346344145,787,359,0.456162643,3.07,8,8,7,14.29,14.29
86,14000US08005005551,8005005551,0.292558614,48528,441,0.188703466,14000US08005005551,3.117458344,2943,1538,1405,0.52259599,0.47740401,631,1572,492,248,0.214407068,0.084267754,861,0.292558614,1117,67,0.059982095,48528,441,687,0.188703466,0.293966624,1117,541,0.484333035,2.6,10,11,10,0.00,10.00
87,14000US08005005630,8005005630,0.09785322,94229,1389,0.288234073,14000US08005005630,2.593903303,6009,3086,2923,0.513562989,0.486437011,1287,2786,1075,861,0.214178732,0.143285072,588,0.09785322,2233,0,0,94229,1389,1077,0.288234073,0.223490351,2233,293,0.131213614,2.67,2,2,2,0.00,0.00
88,14000US08005005552,8005005552,0.11630396,32008,471,0.20794702,14000US08005005552,2.137518167,2803,1516,1287,0.54084909,0.45915091,571,1296,392,544,0.20371031,0.194077774,326,0.11630396,1285,102,0.079377432,32008,471,938,0.20794702,0.414128035,1285,464,0.361089494,2.18,7,7,7,0.00,0.00
89,14000US08005005553,8005005553,0.114934114,56474,745,0.23223192,14000US08005005553,2.588050127,4098,2140,1958,0.522205954,0.477794046,926,2099,551,522,0.225963885,0.127379209,471,0.114934114,1550,45,0.029032258,56474,745,843,0.23223192,0.262780549,1550,728,0.469677419,2.64,10,11,10,0.00,10.00
90,14000US08005005611,8005005611,0.083470923,81930,1150,0.26006332,14000US08005005611,4.012022495,5451,2941,2510,0.53953403,0.46046597,1201,2485,648,1117,0.220326546,0.204916529,455,0.083470923,1926,9,0.004672897,81930,1150,1289,0.26006332,0.29149706,1926,291,0.151090343,2.8,9,14,10,-10.00,40.00
91,14000US08005005612,8005005612,0.032552083,83617,783,0.261087029,14000US08005005612,3.880111694,3840,1855,1985,0.483072917,0.516927083,931,1945,422,542,0.242447917,0.141145833,125,0.032552083,1522,10,0.006570302,83617,783,805,0.261087029,0.268422808,1522,522,0.342969777,2.51,5,8,5,0.00,60.00
92,14000US08005005614,8005005614,0.119749216,92125,517,0.200543057,14000US08005005614,2.325298786,3190,1556,1634,0.487774295,0.512225705,682,1209,625,674,0.213793103,0.211285266,382,0.119749216,1297,36,0.027756361,92125,517,886,0.200543057,0.343677269,1297,115,0.088666153,2.46,3,4,3,0.00,33.33
93,14000US08005005619,8005005619,0.069935858,84211,745,0.187941473,14000US08005005619,4.28122282,4833,2407,2426,0.498034347,0.501965653,1041,2378,619,795,0.215394165,0.164494103,338,0.069935858,1826,40,0.021905805,84211,745,1250,0.187941473,0.315338042,1826,371,0.203176342,2.63,8,11,9,-11.11,22.22
94,14000US08005005620,8005005620,0.089675711,55429,558,0.20613225,14000US08005005620,1.039850116,3022,1301,1721,0.430509596,0.569490404,364,1448,365,845,0.120450033,0.279616148,271,0.089675711,1692,197,0.11643026,55429,558,1029,0.20613225,0.3801256,1692,848,0.501182033,1.79,3,4,3,0.00,33.33
95,14000US08001009553,8001009553,0.188572961,56094,733,0.244251916,14000US08001009553,7.706674099,3728,2185,1543,0.58610515,0.41389485,811,2090,426,401,0.217542918,0.107564378,703,0.188572961,1184,54,0.045608108,56094,733,886,0.244251916,0.295234922,1184,564,0.476351351,3.15,15,21,18,-16.67,16.67
96,14000US08005005621,8005005621,0.050929112,121250,717,0.296403473,14000US08005005621,2.613604307,2906,1301,1605,0.447694425,0.552305575,555,993,623,735,0.190984171,0.252924983,148,0.050929112,1204,62,0.051495017,121250,717,699,0.296403473,0.288962381,1204,112,0.093023256,2.41,1,1,1,0.00,0.00
97,14000US08005005622,8005005622,0.057931571,113125,376,0.181030332,14000US08005005622,7.043202877,2572,1360,1212,0.528771384,0.471228616,561,1034,531,446,0.218118196,0.17340591,149,0.057931571,1045,14,0.013397129,113125,376,662,0.181030332,0.318728936,1045,354,0.338755981,2.46,3,5,4,-25.00,25.00
98,14000US08005005624,8005005624,0.15085592,112218,609,0.271148709,14000US08005005624,1.999745607,2804,1438,1366,0.512838802,0.487161198,629,1152,539,484,0.224322397,0.172610556,423,0.15085592,869,12,0.013808976,112218,609,730,0.271148709,0.325022262,869,76,0.087456847,3.22,5,8,6,-16.67,33.33
99,14000US08005005625,8005005625,0.097066167,89907,511,0.194889397,14000US08005005625,1.880781174,3204,1510,1694,0.471285893,0.528714107,616,1628,449,511,0.192259675,0.15948814,311,0.097066167,1250,38,0.0304,89907,511,689,0.194889397,0.262776506,1250,233,0.1864,2.55,7,10,8,-12.50,25.00
100,14000US08005005626,8005005626,0.061608961,70197,909,0.286750789,14000US08005005626,2.012074947,3928,1915,2013,0.487525458,0.512474542,855,1899,480,694,0.217668024,0.176680244,242,0.061608961,1653,83,0.050211736,70197,909,896,0.286750789,0.282649842,1653,484,0.292800968,2.37,7,14,10,-30.00,40.00
101,14000US08005005629,8005005629,0.045311269,151667,539,0.262926829,14000US08005005629,2.583690166,2538,1295,1243,0.510244287,0.489755713,642,1000,414,482,0.252955083,0.189913318,115,0.045311269,836,6,0.007177033,151667,539,728,0.262926829,0.355121951,836,58,0.06937799,3.04,0,0,0,0.00,0.00
102,14000US08005084700,8005084700,0.235500468,79884,860,0.250655785,14000US08005084700,1.737021685,4276,2026,2250,0.473807297,0.526192703,975,2167,602,532,0.228016838,0.124415341,1007,0.235500468,1604,25,0.015586035,79884,860,897,0.250655785,0.261439813,1604,320,0.199501247,2.66,10,11,10,0.00,10.00
103,14000US08005083400,8005083400,0.329857686,78550,1269,0.243570058,14000US08005083400,2.71482563,7097,3612,3485,0.508947443,0.491052557,2054,3571,808,664,0.289418064,0.093560659,2341,0.329857686,2223,68,0.030589294,78550,1269,1098,0.243570058,0.21074856,2223,263,0.118308592,3.19,14,15,14,0.00,7.14
104,14000US08005005631,8005005631,0.077989601,114119,731,0.259680284,14000US08005005631,1.676115632,3462,1651,1811,0.47689197,0.52310803,710,1554,599,599,0.205083767,0.173021375,270,0.077989601,1247,8,0.006415397,114119,731,720,0.259680284,0.255772647,1247,37,0.029671211,2.77,2,3,2,0.00,50.00
105,14000US08005007703,8005007703,0.34625323,52981,1111,0.302642332,14000US08005007703,1.825961947,4644,2481,2163,0.534237726,0.465762274,1091,2467,447,639,0.234926787,0.137596899,1608,0.34625323,1604,129,0.08042394,52981,1111,1059,0.302642332,0.288477254,1604,844,0.526184539,2.89,14,15,13,7.69,15.38
106,14000US08013013202,8013013202,0.035932203,118839,384,0.301176471,14000US08013013202,65.5317688,1475,727,748,0.492881356,0.507118644,235,584,271,385,0.159322034,0.261016949,53,0.035932203,546,5,0.009157509,118839,384,476,0.301176471,0.373333333,546,34,0.062271062,2.7,0,0,0,0.00,0.00
107,14000US08013012401,8013012401,0.091424866,22578,4140,0.692423482,14000US08013012401,1.117266536,6169,3016,3153,0.488896093,0.511103907,193,5635,179,162,0.03128546,0.026260334,564,0.091424866,1946,162,0.083247688,22578,4140,1106,0.692423482,0.184980766,1946,1551,0.797019527,2.77,16,20,16,0.00,25.00
108,14000US08013012510,8013012510,0.063839386,120441,1174,0.317812669,14000US08013012510,50.72383499,4433,2136,2297,0.48184074,0.51815926,868,1908,797,860,0.195804196,0.193999549,283,0.063839386,1880,8,0.004255319,120441,1174,1073,0.317812669,0.290471034,1880,382,0.203191489,2.35,9,11,10,-10.00,10.00
109,14000US08031004107,8031004107,0.1944007,118692,1658,0.20291274,14000US08031004107,8.503950119,11430,5627,5803,0.492300962,0.507699038,3443,6279,743,965,0.301224847,0.084426947,2222,0.1944007,4532,167,0.036849073,118692,1658,1592,0.20291274,0.194835393,4532,1526,0.336716681,2.49,61,71,61,0.00,16.39
110,14000US08031004106,8031004106,0.183347481,148795,1857,0.205125373,14000US08031004106,14.66244316,12959,6489,6470,0.500733081,0.499266919,4074,7403,887,595,0.314376109,0.045914037,2376,0.183347481,3719,74,0.019897822,148795,1857,2813,0.205125373,0.310725726,3719,777,0.208927131,2.96,23,27,23,0.00,17.39
111,14000US08031015500,8031015500,0.215581098,52057,1016,0.30014771,14000US08031015500,0.58947587,3915,2129,1786,0.543805875,0.456194125,586,2982,239,108,0.149680715,0.027586207,844,0.215581098,1843,245,0.132935431,52057,1016,429,0.30014771,0.126735598,1843,1678,0.910472056,2.11,9,10,9,0.00,11.11
112,14000US08005005635,8005005635,0.095585257,92604,972,0.233710026,14000US08005005635,2.694525242,4938,2242,2696,0.454029972,0.545970028,951,1819,752,1416,0.192588092,0.286755772,472,0.095585257,1988,182,0.091549296,92604,972,1633,0.233710026,0.392642462,1988,340,0.171026157,2.37,3,3,3,0.00,0.00
113,14000US08005006713,8005006713,0.38305709,72340,247,0.174188999,14000US08005006713,0.531745136,1629,884,745,0.542664211,0.457335789,220,1243,124,42,0.135052179,0.025782689,624,0.38305709,869,51,0.058688147,72340,247,210,0.174188999,0.14809591,869,869,1,1.87,0,1,0,0.00,0.00
114,14000US08005084600,8005084600,0.294226158,69310,882,0.205930423,14000US08005084600,2.058106661,5421,2614,2807,0.482198856,0.517801144,1277,2896,673,575,0.235565394,0.106068991,1595,0.294226158,1964,38,0.019348269,69310,882,1063,0.205930423,0.248190521,1964,756,0.384928717,2.76,11,14,12,-8.33,16.67
115,14000US08005005636,8005005636,0.056603774,202188,453,0.296272073,14000US08005005636,5.129411697,1908,889,1019,0.465932914,0.534067086,521,633,394,360,0.273060797,0.188679245,108,0.056603774,692,0,0,202188,453,593,0.296272073,0.387835186,692,0,0,2.76,0,1,0,0.00,0.00
116,14000US08031001701,8031001701,0.113444734,93654,1429,0.22758401,14000US08031001701,1.137981534,6523,3952,2571,0.605856201,0.394143799,244,4361,1103,815,0.037406101,0.124942511,740,0.113444734,4344,672,0.154696133,93654,1429,1362,0.22758401,0.216913521,4344,2948,0.678637201,1.5,170,223,185,-8.11,20.54
117,14000US08031001702,8031001702,0.177521749,65408,1411,0.334995252,14000US08031001702,1.115574956,4253,2457,1796,0.577709852,0.422290148,41,3493,413,306,0.009640254,0.071949212,755,0.177521749,2637,855,0.324232082,65408,1411,913,0.334995252,0.216761633,2637,1690,0.640879788,1.41,222,311,253,-12.25,22.92
118,14000US08031001800,8031001800,0.307781313,47725,881,0.288474132,14000US08031001800,0.974172354,3457,1782,1675,0.515475846,0.484524154,457,2216,462,322,0.132195545,0.093144345,1064,0.307781313,1721,484,0.281231842,47725,881,843,0.288474132,0.276031434,1721,1151,0.668797211,1.97,9,11,9,0.00,22.22
119,14000US08005086200,8005086200,0.236795252,108720,1062,0.20992291,14000US08005086200,2.221013784,6740,3365,3375,0.49925816,0.50074184,1917,3647,787,389,0.284421365,0.057715134,1596,0.236795252,2011,10,0.00497265,108720,1062,1217,0.20992291,0.240561376,2011,246,0.1223272,3.35,6,8,6,0.00,33.33
120,14000US08005085400,8005085400,0.234627126,132083,983,0.282227964,14000US08005085400,1.84692657,4586,2184,2402,0.47623201,0.52376799,1197,2167,803,419,0.261011775,0.091365024,1076,0.234627126,1426,12,0.008415147,132083,983,475,0.282227964,0.136376687,1426,57,0.03997195,3.2,3,4,3,0.00,33.33
121,14000US08031002000,8031002000,0.196185286,100947,344,0.158525346,14000US08031002000,0.786674261,2202,1234,968,0.560399637,0.439600363,32,1451,415,304,0.014532243,0.138056312,432,0.196185286,1433,278,0.193998604,100947,344,552,0.158525346,0.25437788,1433,1057,0.737613398,1.54,18,23,19,-5.26,21.05
122,14000US08031002402,8031002402,0.288700846,73125,417,0.246745562,14000US08031002402,0.410923302,2009,944,1065,0.469885515,0.530114485,330,1310,164,205,0.164260826,0.102040816,580,0.288700846,866,213,0.24595843,73125,417,363,0.246745562,0.214792899,866,447,0.516166282,2.21,4,8,5,-20.00,60.00
123,14000US08005005633,8005005633,0.062214984,104756,619,0.243222004,14000US08005005633,1.953070998,3070,1390,1680,0.45276873,0.54723127,614,1252,634,570,0.2,0.185667752,191,0.062214984,1330,35,0.026315789,104756,619,611,0.243222004,0.240078585,1330,284,0.213533835,2.31,1,3,2,-50.00,50.00
124,14000US08005005634,8005005634,0.077844311,68586,491,0.170901497,14000US08005005634,4.785228252,3173,1309,1864,0.412543334,0.587456666,309,1137,520,1207,0.097384179,0.380397101,247,0.077844311,1627,89,0.054701905,68586,491,1234,0.170901497,0.429516185,1627,326,0.200368777,1.88,4,8,6,-33.33,33.33
125,14000US08005005700,8005005700,0.119084362,48465,1045,0.304575925,14000US08005005700,2.326873064,3888,2115,1773,0.543981481,0.456018519,510,2662,404,312,0.13117284,0.080246914,463,0.119084362,1822,199,0.109220637,48465,1045,650,0.304575925,0.18944914,1822,1318,0.7233809,2.13,40,45,39,2.56,15.38
126,14000US08005005800,8005005800,0.085662432,81708,606,0.259751393,14000US08005005800,1.209961295,2755,1264,1491,0.458802178,0.541197822,491,1465,439,360,0.178221416,0.130671506,236,0.085662432,1225,61,0.049795918,81708,606,604,0.259751393,0.258894128,1225,244,0.199183673,2.25,5,5,5,0.00,0.00
127,14000US08005005951,8005005951,0.128593041,36640,740,0.184171229,14000US08005005951,1.433492541,4627,1999,2628,0.432029393,0.567970607,633,2299,648,1047,0.136805706,0.226280527,595,0.128593041,2544,615,0.241745283,36640,740,1508,0.184171229,0.3753111,2544,1816,0.713836478,1.7,21,22,18,16.67,22.22
128,14000US08005005952,8005005952,0.109994417,58869,753,0.254822335,14000US08005005952,1.000072837,3582,1744,1838,0.486878839,0.513121161,714,2033,380,455,0.199329983,0.127024009,394,0.109994417,1682,107,0.063614744,58869,753,885,0.254822335,0.299492386,1682,1062,0.631391201,2.11,1,2,2,-50.00,0.00
129,14000US08005006000,8005006000,0.10955799,51201,570,0.247288503,14000US08005006000,2.628000975,2647,1429,1218,0.539856441,0.460143559,342,1384,508,413,0.129202871,0.156025689,290,0.10955799,1395,214,0.153405018,51201,570,637,0.247288503,0.276355748,1395,592,0.42437276,1.89,13,15,14,-7.14,7.14
130,14000US08005084900,8005084900,0.196519652,145938,633,0.235578712,14000US08005084900,1.848676324,3333,1610,1723,0.483048305,0.516951695,693,1615,579,446,0.207920792,0.133813381,655,0.196519652,1058,20,0.018903592,145938,633,569,0.235578712,0.211760328,1058,44,0.041587902,3.15,4,5,5,-20.00,0.00
131,14000US08014030900,8014030900,0.137889482,108385,1044,0.225097025,14000US08014030900,5.440403938,5809,3049,2760,0.524875194,0.475124806,1346,2686,831,946,0.231709416,0.162850749,801,0.137889482,2201,44,0.019990913,108385,1044,1288,0.225097025,0.277705908,2201,288,0.130849614,2.64,0,1,0,0.00,0.00
132,14000US08123002009,8123002009,0.026086957,97188,306,0.211034483,14000US08123002009,42.71583939,1725,819,906,0.474782609,0.525217391,333,734,336,322,0.193043478,0.186666667,45,0.026086957,656,12,0.018292683,97188,306,450,0.211034483,0.310344828,656,46,0.070121951,2.62,0,0,0,0.00,0.00
133,14000US08005006712,8005006712,0.102158273,182031,252,0.218560278,14000US08005006712,5.00954771,1390,719,671,0.517266187,0.482733813,292,432,306,360,0.210071942,0.258992806,142,0.102158273,579,0,0,182031,252,464,0.218560278,0.402428448,579,71,0.122625216,2.4,17,26,20,-15.00,30.00
134,14000US08005006858,8005006858,0.245716589,74571,842,0.200810875,14000US08005006858,2.823686123,4961,2490,2471,0.501914937,0.498085063,768,3110,440,643,0.154807498,0.129610966,1219,0.245716589,2658,220,0.082768999,74571,842,1129,0.200810875,0.269258288,2658,2171,0.816779533,1.83,9,6,7,28.57,-14.29
135,14000US08031005104,8031005104,0.340076545,44926,763,0.247727273,14000US08031005104,0.74144578,3658,1765,1893,0.482504101,0.517495899,599,1911,533,615,0.163750683,0.168124658,1244,0.340076545,1681,295,0.175490779,44926,763,947,0.247727273,0.307467532,1681,1381,0.821534801,2.01,7,7,7,0.00,0.00
136,14000US08031003500,8031003500,0.264865681,54602,1179,0.236651947,14000US08031003500,6.738967896,6626,3523,3103,0.531693329,0.468306671,1896,3558,673,499,0.286145487,0.075309387,1755,0.264865681,1803,99,0.054908486,54602,1179,1543,0.236651947,0.309714974,1803,973,0.539656129,3.66,55,55,49,12.24,12.24
