TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,Percent Change Sep20,Percent Change Aug19,Percent Change Pan
601,14000US08001008548,8001008548,0.196932515,93750,0.114942529,0.275862069,0.140410959,2.79,0,0,0,0,0,0.00
602,14000US08001009207,8001009207,0.158518827,65879,0.229765708,0.252129925,0.484926235,3.08,2,4,4,-50,0,0.00
603,14000US08035014129,8035014129,0.112191277,129875,0.250452407,0.184943902,0.042105263,3.08,0,1,0,0,0,-100.00
604,14000US08035014124,8035014124,0.056293835,144281,0.263403837,0.182242991,0.08907563,3.04,3,3,3,0,0,0.00
605,14000US08035014006,8035014006,0.181711606,134611,0.22125951,0.247464074,0.02525725,3.19,0,0,0,0,0,0.00
608,14000US08001008536,8001008536,0.15071473,115000,0.178464178,0.181896182,0.081300813,3.27,0,0,0,0,0,0.00
609,14000US08001008546,8001008546,0.164117968,79485,0.224069389,0.241778099,0.207936508,2.91,1,1,1,0,0,0.00
610,14000US08001009206,8001009206,0.21134249,71250,0.229093051,0.258539458,0.17450495,2.79,7,5,5,40,0,0.00
611,14000US08001009751,8001009751,0.099028106,48767,0.383828996,0.207868649,0.391238671,2.86,9,9,9,0,0,0.00
613,14000US08013013506,8013013506,0.096317916,105559,0.275708727,0.313507504,0.105034183,2.77,1,1,1,0,0,0.00
614,14000US08013013508,8013013508,0.119571269,84801,0.278140886,0.281227306,0.204752475,2.85,1,1,1,0,0,0.00
615,14000US08013061400,8013061400,0.233009709,128042,0.352188552,0.179124579,0.185042406,3.1,0,0,0,0,0,0.00
623,14000US08013013507,8013013507,0.133432836,76862,0.272093876,0.248258159,0.199665831,2.8,3,3,3,0,0,0.00
624,14000US08123002007,8123002007,0.094958465,109921,0.183914729,0.272868217,0.163231657,2.88,1,1,0,0,0,-100.00
625,14000US08123001907,8123001907,0.109626584,75694,0.213483146,0.308556612,0.250996016,2.91,0,0,0,0,0,0.00
626,14000US08123002014,8123002014,0.092217484,74681,0.242029928,0.248536109,0.176712329,2.57,0,0,0,0,0,0.00
627,14000US08035013901,8035013901,0.0891339,118603,0.22050608,0.255997371,0.215568862,2.65,0,1,0,0,0,-100.00
628,14000US08035014109,8035014109,0.057080925,121857,0.199916701,0.435235319,0.199490662,2.33,1,1,1,0,0,0.00
629,14000US08035014110,8035014110,0.190526876,82215,0.296577073,0.213875488,0.38239159,2.47,0,0,0,0,0,0.00
633,14000US08035014114,8035014114,0.192172897,84300,0.245159059,0.213001383,0.29664723,2.5,3,3,3,0,0,0.00
639,14000US08031006812,8031006812,0.155752212,66462,0.225172891,0.31120332,0.314500942,1.86,14,13,13,7.69,0,0.00
643,14000US08031005102,8031005102,0.107091997,76105,0.268502582,0.200688468,0.303149606,2.3,3,3,3,0,0,0.00
652,14000US08031005503,8031005503,0.184116284,78260,0.198617389,0.305237969,0.203943662,2.61,4,4,4,0,0,0.00
660,14000US08059009823,8059009823,0.065931823,95915,0.288597641,0.202096986,0.186498856,2.8,0,0,0,0,0,0.00
669,14000US08001009325,8001009325,0.090576923,75020,0.233111976,0.281657889,0.527929441,2.18,5,5,5,0,0,0.00
671,14000US08059009824,8059009824,0.135353955,86204,0.292005242,0.194495413,0.178651685,2.71,2,2,2,0,0,0.00
676,14000US08001009407,8001009407,0.23888233,63004,0.234846497,0.267908685,0.367705382,2.88,6,6,6,0,0,0.00
678,14000US08001009410,8001009410,0.085704939,118472,0.269290123,0.325617284,0.065934066,2.58,0,1,0,0,0,-100.00
688,14000US08001008506,8001008506,0.142464565,42010,0.240506329,0.293559196,0.805299963,2.48,2,5,5,-60,0,0.00
689,14000US08001008507,8001008507,0.111724344,81630,0.275902901,0.211367673,0.207377866,3.34,8,4,4,100,0,0.00
693,14000US08031012001,8031012001,0.109313725,78696,0.220936639,0.384573003,0.230088496,2.26,1,1,1,0,0,0.00
695,14000US08001008524,8001008524,0.147171163,103340,0.215503876,0.236744186,0.111978151,3.27,3,3,3,0,0,0.00
696,14000US08001008526,8001008526,0.141874463,88182,0.250784857,0.229362881,0.236198738,2.75,0,0,0,0,0,0.00
699,14000US08031012014,8031012014,0.094015772,66708,0.254135612,0.210325395,0.382343499,2.08,2,3,3,-33.33,0,0.00
700,14000US08001008538,8001008538,0.129580807,108472,0.26641294,0.202854424,0.098447894,3.36,3,3,3,0,0,0.00
702,14000US08059980400,8059980400,0.21291866,0,0.335725678,0.459330144,0,0,0,0,0,0,0,0.00
699,14000US08031012014,8031012014,0.094015772,66708,0.254135612,0.210325395,0.382343499,2.08,2,3,3,-33.33,0,0.00
700,14000US08001008538,8001008538,0.129580807,108472,0.26641294,0.202854424,0.098447894,3.36,3,3,3,0,0,0.00
702,14000US08059980400,8059980400,0.21291866,0,0.335725678,0.459330144,0,0,0,0,0,0,0,0.00
554,14000US08059010503,8059010503,0.070875114,52820,0.22877818,0.357639855,0.385505788,2.19,20,24,23,-13.04,4.35,-4.17
448,14000US08031004301,8031004301,0.188909202,46871,0.268943678,0.176656865,0.669134971,1.64,22,23,22,0,4.55,-4.35
550,14000US08059010405,8059010405,0.096904937,43045,0.293577982,0.252075142,0.889659521,1.71,18,21,20,-10,5,-4.76
681,14000US08001009502,8001009502,0.168018299,71337,0.251227707,0.295942104,0.15942029,3.17,18,20,19,-5.26,5.26,-5.00
393,14000US08001008705,8001008705,0.130521002,46139,0.347255949,0.324186498,0.416953825,3.76,13,19,18,-27.78,5.56,-5.26
186,14000US08005080700,8005080700,0.440283051,66882,0.248874887,0.302880288,0.446354167,2.91,16,17,16,0,6.25,-5.88
189,14000US08005081600,8005081600,0.283604986,73611,0.16917111,0.350218129,0.289130435,2.72,16,17,16,0,6.25,-5.88
478,14000US08031001102,8031001102,0.176537327,87917,0.260626993,0.138150903,0.623870661,2.08,15,17,16,-6.25,6.25,-5.88
404,14000US08001008706,8001008706,0.242159383,52805,0.251949318,0.356968811,0.425062972,3.62,9,16,15,-40,6.67,-6.25
645,14000US08031001302,8031001302,0.230372915,42474,0.214239272,0.353055917,0.392807746,2.82,15,16,15,0,6.67,-6.25
103,14000US08005083400,8005083400,0.329857686,78550,0.243570058,0.21074856,0.118308592,3.19,14,15,14,0,7.14,-6.67
129,14000US08005006000,8005006000,0.10955799,51201,0.247288503,0.276355748,0.42437276,1.89,13,15,14,-7.14,7.14,-6.67
398,14000US08001008802,8001008802,0.217408124,47069,0.265143172,0.339482379,0.300341297,4.16,9,15,14,-35.71,7.14,-6.67
405,14000US08001008801,8001008801,0.190557452,44222,0.277382646,0.349075391,0.423459245,3.47,9,15,14,-35.71,7.14,-6.67
438,14000US08059011803,8059011803,0.102774158,61653,0.209082931,0.28411584,0.315217391,2.65,14,15,14,0,7.14,-6.67
490,14000US08059010403,8059010403,0.094654788,52416,0.267423736,0.244488978,0.700079239,2.13,13,15,14,-7.14,7.14,-6.67
661,14000US08031006901,8031006901,0.286021505,45613,0.301545874,0.263200161,0.695560993,2.01,15,15,14,7.14,7.14,-6.67
140,14000US08031001500,8031001500,0.188571429,50185,0.28591431,0.337440493,0.590371622,3.13,19,29,27,-29.63,7.41,-6.90
674,14000US08031008306,8031008306,0.48284554,46250,0.276318428,0.347503509,0.503691983,3.76,25,27,25,0,8,-7.41
264,14000US08005087100,8005087100,0.422263451,40912,0.312328767,0.257990868,0.689681335,2.04,12,13,12,0,8.33,-7.69
430,14000US08031000201,8031000201,0.094025974,55541,0.188278166,0.350136654,0.339925834,2.31,12,13,12,0,8.33,-7.69
435,14000US08031012010,8031012010,0.175312382,70273,0.250223015,0.267172168,0.350572444,2.09,12,13,12,0,8.33,-7.69
439,14000US08059011804,8059011804,0.12007291,69792,0.209767814,0.377101681,0.190647482,2.63,12,13,12,0,8.33,-7.69
651,14000US08031005502,8031005502,0.113092445,77039,0.237163814,0.363691932,0.461412151,2.72,12,13,12,0,8.33,-7.69
274,14000US08059011805,8059011805,0.154301573,61176,0.238253638,0.132224532,0.831861533,1.91,22,25,23,-4.35,8.7,-8.00
288,14000US08031008389,8031008389,0.513068286,83313,0.249010849,0.207530313,0.144474233,3.24,47,50,46,2.17,8.7,-8.00
553,14000US08059010502,8059010502,0.143659245,61296,0.256591337,0.336864407,0.287918871,2.25,29,37,34,-14.71,8.82,-8.11
413,14000US08001009304,8001009304,0.131200821,55152,0.218380549,0.256747714,0.427509294,2.71,7,12,11,-36.36,9.09,-8.33
452,14000US08031004101,8031004101,0.501663202,37294,0.32669214,0.309224891,0.685027541,2.3,37,36,33,12.12,9.09,-8.33
30,14000US08031015400,8031015400,0.101921132,70208,0.296332518,0.29608802,0.309495897,2.44,21,23,21,0,9.52,-8.70
12,14000US08005080500,8005080500,0.242688414,63625,0.228336496,0.345667299,0.362181387,2.11,9,11,10,-10,10,-9.09
86,14000US08005005551,8005005551,0.292558614,48528,0.188703466,0.293966624,0.484333035,2.6,10,11,10,0,10,-9.09
89,14000US08005005553,8005005553,0.114934114,56474,0.23223192,0.262780549,0.469677419,2.64,10,11,10,0,10,-9.09
102,14000US08005084700,8005084700,0.235500468,79884,0.250655785,0.261439813,0.199501247,2.66,10,11,10,0,10,-9.09
108,14000US08013012510,8013012510,0.063839386,120441,0.317812669,0.290471034,0.203191489,2.35,9,11,10,-10,10,-9.09
182,14000US08005080100,8005080100,0.435536803,39515,0.237719298,0.292982456,0.626526082,2.33,11,11,10,10,10,-9.09
266,14000US08005087300,8005087300,0.531956023,58000,0.232961173,0.206798867,0.810025543,2.61,10,11,10,0,10,-9.09
394,14000US08001008901,8001008901,0.180930931,49079,0.295107838,0.409784324,0.330136986,3.55,16,11,10,60,10,-9.09
420,14000US08001009316,8001009316,0.041283775,46432,0.30435575,0.294332058,0.233695652,3.3,9,11,10,-10,10,-9.09
555,14000US08059010504,8059010504,0.044107744,113125,0.24312115,0.365092402,0.065853659,2.41,7,11,10,-30,10,-9.09
563,14000US08059011202,8059011202,0.059390364,75875,0.292608286,0.282956685,0.270881671,2.62,9,11,10,-10,10,-9.09
655,14000US08031006809,8031006809,0.146502591,68333,0.214045288,0.256425949,0.485090522,2.05,41,44,40,2.5,10,-9.09
668,14000US08001009323,8001009323,0.159340659,56250,0.240494297,0.210392902,0.630568883,2.74,10,22,20,-50,10,-9.09
370,14000US08031001902,8031001902,0.08801956,125625,0.470660147,0.449877751,0.2,1.75,61,65,59,3.39,10.17,-9.23
54,14000US08031004403,8031004403,0.33020595,59229,0.28943299,0.190463918,0.581845997,2.23,17,21,19,-10.53,10.53,-9.52
318,14000US08031004700,8031004700,0.131968758,62482,0.218129289,0.225352113,0.373759171,3.19,18,21,19,-5.26,10.53,-9.52
78,14000US08005081300,8005081300,0.391373295,54375,0.255106294,0.22676115,0.453433678,2.97,9,10,9,0,11.11,-10.00
111,14000US08031015500,8031015500,0.215581098,52057,0.30014771,0.126735598,0.910472056,2.11,9,10,9,0,11.11,-10.00
138,14000US08031005200,8031005200,0.164500968,107875,0.208224543,0.256201044,0.176300578,2.61,9,10,9,0,11.11,-10.00
193,14000US08031003002,8031003002,0.151228733,91033,0.234693878,0.174319728,0.452509653,2.01,9,10,9,0,11.11,-10.00
326,14000US08001007801,8001007801,0.601885424,32744,0.289110958,0.337698139,0.91640625,3.18,9,10,9,0,11.11,-10.00
343,14000US08031004601,8031004601,0.140870507,49848,0.1475719,0.394860915,0.310928681,2.84,9,10,9,0,11.11,-10.00
411,14000US08001009203,8001009203,0.153074866,41761,0.22723201,0.221857271,0.959325973,2.55,21,30,27,-22.22,11.11,-10.00
472,14000US08059009900,8059009900,0.092976045,64671,0.406347787,0.20786768,0.458870168,2.38,8,10,9,-11.11,11.11,-10.00
492,14000US08059010603,8059010603,0.143989071,63364,0.271090047,0.238862559,0.500572738,2.04,17,20,18,-5.56,11.11,-10.00
499,14000US08005007201,8005007201,0.55596196,42067,0.234409978,0.340262232,0.653029111,3.09,9,10,9,0,11.11,-10.00
631,14000US08031000401,8031000401,0.158494869,66136,0.209180098,0.235459005,0.469262295,2.38,9,10,9,0,11.11,-10.00
673,14000US08031008305,8031008305,0.407212147,51837,0.244430499,0.357389394,0.399260628,4.38,9,10,9,0,11.11,-10.00
687,14000US08001008505,8001008505,0.060651905,69758,0.226418378,0.304733728,0.285473684,3.06,9,10,9,0,11.11,-10.00
641,14000US08031000701,8031000701,0.266695766,37008,0.231824062,0.322380336,0.761904762,2.11,25,29,26,-3.85,11.54,-10.34
187,14000US08005080300,8005080300,0.416531018,68924,0.260188088,0.217972832,0.242598321,2.44,18,19,17,5.88,11.76,-10.53
459,14000US08031000800,8031000800,0.480848153,9766,0.337209302,0.502906977,0.886021505,3.11,41,47,42,-2.38,11.9,-10.64
227,14000US08005081100,8005081100,0.601605136,41673,0.293457944,0.184423676,0.748596632,2.5,49,56,50,-2,12,-10.71
136,14000US08031003500,8031003500,0.264865681,54602,0.236651947,0.309714974,0.539656129,3.66,55,55,49,12.24,12.24,-10.91
640,14000US08031001600,8031001600,0.236715819,83503,0.206526895,0.145052652,0.814987451,1.9,50,55,49,2.04,12.24,-10.91
20,14000US08031005002,8031005002,0.444078546,41946,0.271794062,0.286639292,0.659568345,2.35,24,27,24,0,12.5,-11.11
181,14000US08005080000,8005080000,0.45190409,51400,0.27934356,0.34284695,0.499196141,2.85,8,9,8,0,12.5,-11.11
183,14000US08031002901,8031002901,0.08172232,81779,0.251559934,0.134975369,0.515240328,2,8,9,8,0,12.5,-11.11
192,14000US08031003001,8031003001,0.083244963,102313,0.258577406,0.143514644,0.317607727,2.1,34,36,32,6.25,12.5,-11.11
265,14000US08005086900,8005086900,0.551103565,53776,0.365973072,0.133006936,0.78611898,2.09,8,9,8,0,12.5,-11.11
268,14000US08005081700,8005081700,0.209983361,142679,0.320102433,0.239863423,0.099190283,3.04,8,9,8,0,12.5,-11.11
273,14000US08059011806,8059011806,0.10725429,43631,0.216619318,0.342566288,0.393412626,2.33,16,18,16,0,12.5,-11.11
276,14000US08059011401,8059011401,0.113933795,40132,0.226315789,0.262200957,0.612903226,2.15,7,9,8,-12.5,12.5,-11.11
281,14000US08031004505,8031004505,0.121038035,33684,0.124098124,0.379220779,0.709077381,3.74,8,9,8,0,12.5,-11.11
286,14000US08031004306,8031004306,0.129804069,106599,0.244254916,0.289741767,0.389995573,2.29,16,18,16,0,12.5,-11.11
389,14000US08031008388,8031008388,0.483976043,62875,0.218759019,0.207647908,0.449514563,3.08,32,36,32,0,12.5,-11.11
421,14000US08001009318,8001009318,0.106370009,37952,0.32800691,0.218959188,0.566297118,2.9,7,9,8,-12.5,12.5,-11.11
450,14000US08031004005,8031004005,0.197878788,57555,0.366796621,0.220597791,0.715517241,2,8,9,8,0,12.5,-11.11
451,14000US08031004006,8031004006,0.172695688,80298,0.301346389,0.317258262,0.465542169,2.26,8,9,8,0,12.5,-11.11
532,14000US08059010208,8059010208,0.09185768,76825,0.260378965,0.301469023,0.229035167,2.63,7,9,8,-12.5,12.5,-11.11
580,14000US08005083800,8005083800,0.354255669,70072,0.311530398,0.209224319,0.277119417,2.71,8,9,8,0,12.5,-11.11
606,14000US08001009327,8001009327,0.125591296,75893,0.214263757,0.316015985,0.220685112,2.79,5,9,8,-37.5,12.5,-11.11
617,14000US08031000102,8031000102,0.181363904,87798,0.190297233,0.206354629,0.288902666,2.11,7,9,8,-12.5,12.5,-11.11
650,14000US08031005300,8031005300,0.180487805,44770,0.253194888,0.391373802,0.614060258,1.93,31,35,31,0,12.9,-11.43
142,14000US08031002403,8031002403,0.337680816,46758,0.256561328,0.269416176,0.701259227,1.76,39,43,38,2.63,13.16,-11.63
43,14000US08013012701,8013012701,0.051215977,150117,0.294527363,0.255522388,0.15478701,2.59,14,17,15,-6.67,13.33,-11.76
71,14000US08005082600,8005082600,0.680312616,58545,0.186063218,0.234434866,0.631205674,2.38,14,17,15,-6.67,13.33,-11.76
289,14000US08031008391,8031008391,0.429950319,73906,0.232274815,0.205112842,0.193097422,3.08,16,17,15,6.67,13.33,-11.76
399,14000US08001008353,8001008353,0.390792968,68697,0.275832911,0.183663115,0.211792087,3.07,14,17,15,-6.67,13.33,-11.76
503,14000US08059010701,8059010701,0.061776955,56117,0.232048574,0.324709609,0.473249027,2.06,15,17,15,0,13.33,-11.76
524,14000US08059010100,8059010100,0.04938989,77852,0.319937486,0.243357892,0.521845852,2.42,12,17,15,-20,13.33,-11.76
567,14000US08059011602,8059011602,0.134267241,54764,0.259520451,0.277009873,0.404627892,2.89,14,17,15,-6.67,13.33,-11.76
619,14000US08031000301,8031000301,0.138135593,72173,0.187780597,0.276595745,0.322478992,2.05,15,17,15,0,13.33,-11.76
284,14000US08031008387,8031008387,0.390758547,74922,0.257148162,0.307092462,0.173042966,4.41,22,25,22,0,13.64,-12.00
345,14000US08031003602,8031003602,0.426686851,46679,0.219270981,0.292455496,0.483205657,2.72,22,25,22,0,13.64,-12.00
202,14000US08005081000,8005081000,0.576476702,36737,0.290224509,0.262160898,0.685936152,2.47,29,33,29,0,13.79,-12.12
686,14000US08001008309,8001008309,0.48511469,55024,0.231646472,0.302209551,0.351800554,3.78,62,74,65,-4.62,13.85,-12.16
57,14000US08013013006,8013013006,0.094620641,98611,0.341207934,0.182973033,0.29055912,2.6,7,8,7,0,14.29,-12.50
85,14000US08005007500,8005007500,0.432343234,59063,0.209455745,0.346344145,0.456162643,3.07,8,8,7,14.29,14.29,-12.50
137,14000US08031002701,8031002701,0.158085106,41957,0.251564186,0.147357066,0.870653686,1.29,27,32,28,-3.57,14.29,-12.50
157,14000US08005082700,8005082700,0.330049261,86694,0.266179541,0.195546277,0.106034483,3.15,6,8,7,-14.29,14.29,-12.50
173,14000US08005015100,8005015100,0.090409075,136176,0.299539171,0.242144952,0.068097015,2.6,7,8,7,0,14.29,-12.50
252,14000US08005085000,8005085000,0.277013752,93194,0.213135068,0.210037175,0.439897698,2.6,9,8,7,28.57,14.29,-12.50
306,14000US08013012104,8013012104,0.163165791,121146,0.276708373,0.356111646,0.186200378,2.51,13,16,14,-7.14,14.29,-12.50
335,14000US08031003300,8031003300,0.120720189,135875,0.267465753,0.147945205,0.349011588,2.31,8,8,7,14.29,14.29,-12.50
406,14000US08001009001,8001009001,0.23109151,48993,0.293676003,0.274906151,0.330399458,3.05,13,16,14,-7.14,14.29,-12.50
416,14000US08001009307,8001009307,0.15035497,60264,0.227977565,0.309468822,0.464019851,3.26,7,8,7,0,14.29,-12.50
433,14000US08031000402,8031000402,0.106296938,87667,0.240183793,0.15037594,0.567359249,1.72,20,24,21,-4.76,14.29,-12.50
434,14000US08031007006,8031007006,0.434339623,42133,0.264137931,0.18045977,1,2.14,7,8,7,0,14.29,-12.50
437,14000US08031002703,8031002703,0.172743225,46076,0.288135593,0.114608555,0.821469907,1.47,14,16,14,0,14.29,-12.50
440,14000US08059011951,8059011951,0.100031066,71782,0.192633517,0.303867403,0.207697894,2.34,7,8,7,0,14.29,-12.50
636,14000US08031000600,8031000600,0.115007899,62664,0.273106324,0.099027102,0.778913394,1.7,7,8,7,0,14.29,-12.50
649,14000US08005007302,8005007302,0.579622503,35577,0.279205298,0.298807947,0.794829483,2.99,29,32,28,3.57,14.29,-12.50
663,14000US08031007037,8031007037,0.60284951,39530,0.260132222,0.221327968,0.835007932,2.38,7,8,7,0,14.29,-12.50
664,14000US08031007088,8031007088,0.36749322,64450,0.228006365,0.278245056,0.728635075,2.07,7,8,7,0,14.29,-12.50
667,14000US08001009322,8001009322,0.166092202,50230,0.237536657,0.285337243,0.163366337,2.87,6,8,7,-14.29,14.29,-12.50
447,14000US08031004202,8031004202,0.200127065,122500,0.338965952,0.250945776,0.168870192,2.52,27,31,27,0,14.81,-12.90
141,14000US08031002100,8031002100,0.169817027,72064,0.209432314,0.19441048,0.562885928,2.13,78,92,80,-2.5,15,-13.04
287,14000US08031008386,8031008386,0.420656267,70536,0.249571813,0.289699046,0.390551181,4.39,20,23,20,0,15,-13.04
461,14000US08031000903,8031000903,0.087917042,43594,0.213254727,0.355763367,0.49519474,3.37,18,23,20,-10,15,-13.04
618,14000US08031000202,8031000202,0.189426209,57181,0.191937984,0.307286822,0.4945308,2.3,20,23,20,0,15,-13.04
685,14000US08001008308,8001008308,0.435166817,41619,0.265149641,0.348008904,0.419073569,3.02,20,23,20,0,15,-13.04
458,14000US08031000702,8031000702,0.213541667,32572,0.230314961,0.286663386,0.755052936,2.63,31,38,33,-6.06,15.15,-13.16
105,14000US08005007703,8005007703,0.34625323,52981,0.302642332,0.288477254,0.526184539,2.89,14,15,13,7.69,15.38,-13.33
125,14000US08005005700,8005005700,0.119084362,48465,0.304575925,0.18944914,0.7233809,2.13,40,45,39,2.56,15.38,-13.33
156,14000US08005082100,8005082100,0.534782609,63750,0.294003115,0.230334891,0.572469983,3.06,13,15,13,0,15.38,-13.33
158,14000US08005086800,8005086800,0.55732138,59416,0.326343818,0.210850391,0.652488973,2.32,13,15,13,0,15.38,-13.33
307,14000US08013012101,8013012101,0.086701571,114271,0.310907238,0.24617737,0.215971873,2.39,12,15,13,-7.69,15.38,-13.33
432,14000US08031004201,8031004201,0.134331462,107662,0.261425462,0.225244831,0.206791688,2.43,26,30,26,0,15.38,-13.33
453,14000US08031004303,8031004303,0.093911757,209000,0.195097038,0.336738168,0.079710145,2.67,13,15,13,0,15.38,-13.33
460,14000US08031000902,8031000902,0.158221797,56042,0.182002432,0.320429672,0.364259357,3.31,12,15,13,-7.69,15.38,-13.33
477,14000US08031001101,8031001101,0.286199095,55568,0.226607539,0.232372506,0.489593657,2.53,13,15,13,0,15.38,-13.33
568,14000US08059011701,8059011701,0.089552239,75532,0.243946889,0.304347826,0.231854839,2.26,23,30,26,-11.54,15.38,-13.33
648,14000US08031001403,8031001403,0.187519119,58583,0.243481325,0.199436223,0.676691729,2.02,25,30,26,-3.85,15.38,-13.33
690,14000US08031980000,8031980000,0.439104674,54592,0.238351254,0.174731183,0.297169811,2.39,13,15,13,0,15.38,-13.33
62,14000US08031003703,8031003703,0.151754663,62680,0.260480115,0.142959513,0.58031401,1.91,22,22,19,15.79,15.79,-13.64
263,14000US08005007301,8005007301,0.534686971,47015,0.235010707,0.291755889,0.759302326,2.74,19,22,19,0,15.79,-13.64
595,14000US08001007802,8001007802,0.627572899,30598,0.267089703,0.325064898,0.912110727,3.21,20,22,19,5.26,15.79,-13.64
638,14000US08031003601,8031003601,0.403611836,52188,0.248128639,0.237316329,0.478784404,2.63,20,22,19,5.26,15.79,-13.64
644,14000US08031001301,8031001301,0.143515107,53180,0.139586411,0.372968981,0.471916618,3.13,18,22,19,-5.26,15.79,-13.64
179,14000US08005081800,8005081800,0.463159759,51932,0.249348187,0.270443233,0.532022828,3.54,31,36,31,0,16.13,-13.89
684,14000US08001008200,8001008200,0.40975053,62689,0.267984014,0.305506217,0.257853403,3.85,49,57,49,0,16.33,-14.04
109,14000US08031004107,8031004107,0.1944007,118692,0.20291274,0.194835393,0.336716681,2.49,61,71,61,0,16.39,-14.08
32,14000US08005004952,8005004952,0.311356576,50909,0.222345133,0.166666667,0.976306197,1.76,17,21,18,-5.56,16.67,-14.29
33,14000US08013060600,8013060600,0.267922035,111696,0.282512116,0.180129241,0.671635434,2.58,6,7,6,0,16.67,-14.29
65,14000US08031004102,8031004102,0.585741811,51958,0.254346746,0.394187779,0.445972495,3.13,24,28,24,0,16.67,-14.29
84,14000US08005081200,8005081200,0.553467001,48262,0.276174773,0.275350371,0.456836461,2.57,11,14,12,-8.33,16.67,-14.29
95,14000US08001009553,8001009553,0.188572961,56094,0.244251916,0.295234922,0.476351351,3.15,15,21,18,-16.67,16.67,-14.29
114,14000US08005084600,8005084600,0.294226158,69310,0.205930423,0.248190521,0.384928717,2.76,11,14,12,-8.33,16.67,-14.29
151,14000US08005087200,8005087200,0.374205695,53495,0.263949118,0.209309049,0.751646284,1.99,12,14,12,0,16.67,-14.29
161,14000US08005082800,8005082800,0.388446622,66069,0.190933728,0.270756344,0.244456463,2.65,11,14,12,-8.33,16.67,-14.29
178,14000US08005080200,8005080200,0.388324488,82967,0.230116258,0.272744049,0.445218199,3.05,13,14,12,8.33,16.67,-14.29
190,14000US08005082500,8005082500,0.238646483,68618,0.27765237,0.239277652,0.139973082,3.02,6,7,6,0,16.67,-14.29
191,14000US08031002902,8031002902,0.07373494,120446,0.178178743,0.206935438,0.314196242,2.17,8,7,6,33.33,16.67,-14.29
229,14000US08005082200,8005082200,0.496095544,54602,0.315952704,0.24171351,0.351860575,3.08,12,14,12,0,16.67,-14.29
308,14000US08013012105,8013012105,0.07960644,84435,0.374890447,0.23006135,0.266502665,2.29,22,28,24,-8.33,16.67,-14.29
333,14000US08031003202,8031003202,0.088855422,58125,0.225806452,0.188224241,0.696693819,1.53,6,7,6,0,16.67,-14.29
342,14000US08005007704,8005007704,0.662959968,47152,0.288558535,0.242367932,0.652057723,2.64,6,7,6,0,16.67,-14.29
356,14000US08013012103,8013012103,0.100232498,92862,0.271380056,0.300401358,0.288260602,2.36,5,7,6,-16.67,16.67,-14.29
357,14000US08013013702,8013013702,0.048341858,91648,0.36353189,0.203600843,0.263234228,2.19,7,7,6,16.67,16.67,-14.29
368,14000US08014031200,8014031200,0.125620207,72455,0.277675519,0.196949776,0.583974649,2.01,5,7,6,-16.67,16.67,-14.29
422,14000US08001009319,8001009319,0.096951891,38433,0.261677282,0.309447983,0.510520487,3.02,6,7,6,0,16.67,-14.29
436,14000US08031000303,8031000303,0.052015312,92133,0.253968254,0.255820106,0.335185185,2.01,12,14,12,0,16.67,-14.29
500,14000US08005007202,8005007202,0.421698576,37250,0.237846656,0.296900489,0.645971914,3.01,6,7,6,0,16.67,-14.29
527,14000US08059009807,8059009807,0.064829822,71204,0.242567568,0.305405405,0.377723971,2.24,5,7,6,-16.67,16.67,-14.29
549,14000US08059010402,8059010402,0.070993489,48013,0.261915998,0.240915526,0.557616417,1.8,3,7,6,-50,16.67,-14.29
558,14000US08059010801,8059010801,0.090459901,104125,0.229366165,0.348837209,0.109810981,2.37,5,7,6,-16.67,16.67,-14.29
562,14000US08059011100,8059011100,0.132139236,49234,0.218325123,0.263054187,0.523741521,2.07,23,28,24,-4.17,16.67,-14.29
564,14000US08059011300,8059011300,0.071981924,47896,0.269408148,0.239431207,0.37248089,2.15,5,7,6,-16.67,16.67,-14.29
569,14000US08059011708,8059011708,0.072736393,78208,0.20456621,0.329375951,0.118437118,2.43,5,7,6,-16.67,16.67,-14.29
576,14000US08005080600,8005080600,0.286338479,50688,0.230796335,0.242424242,0.514317181,1.89,6,7,6,0,16.67,-14.29
612,14000US08001008709,8001008709,0.246434826,41538,0.255116198,0.345820326,0.621792341,3.11,52,56,48,8.33,16.67,-14.29
675,14000US08001009406,8001009406,0.178815239,66458,0.223578291,0.243053752,0.423894314,2.61,6,7,6,0,16.67,-14.29
682,14000US08001008000,8001008000,0.428456978,50483,0.276846398,0.307430902,0.48421646,3.51,12,14,12,0,16.67,-14.29
701,14000US08001015000,8001015000,0.164886515,39675,0.246634824,0.419887104,0.271099744,2.55,28,28,24,16.67,16.67,-14.29
701,14000US08001015000,8001015000,0.164886515,39675,0.246634824,0.419887104,0.271099744,2.55,28,28,24,16.67,16.67,-14.29
110,14000US08031004106,8031004106,0.183347481,148795,0.205125373,0.310725726,0.208927131,2.96,23,27,23,0,17.39,-14.81
396,14000US08001007900,8001007900,0.501759324,41738,0.266361886,0.227622714,0.653886555,2.98,24,27,23,4.35,17.39,-14.81
311,14000US08013012204,8013012204,0.06505848,42348,0.480715906,0.228384169,0.781333333,2.1,54,67,57,-5.26,17.54,-14.93
291,14000US08031015600,8031015600,0.213866967,44816,0.183712121,0.390782828,0.607395098,3.68,31,40,34,-8.82,17.65,-15.00
